Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Identifiant mandat,Date d'élection,Date de début de mandat,Année de début de mandat,Motif début de mandat,Date de fin de mandat,Année de fin de mandat,Motif fin de mandat,Commentaire
83010H,M.,Allouche,Guy,ANCIEN,7,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83010H,M.,Allouche,Guy,ANCIEN,8,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Ne se représente pas,
04087R,Mme,Alquier,Jacqueline,ANCIEN,10989,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Ne se représente pas,
000724,M.,Alric,Gustave,ANCIEN,5308,,1955-06-19 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000724,M.,Alric,Gustave,ANCIEN,5309,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1962-10-01 00:00:00.0,,Fin de mandat,
000724,M.,Alric,Gustave,ANCIEN,5311,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 5,1967-10-17 00:00:00.0,,Décédé,
92006N,M.,Althapé,Louis,ANCIEN,9,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Non réélu,
59214D,M.,Amelin,Jean,ANCIEN,1936,,1976-03-19 00:00:00.0,,Remplace,1983-10-02 00:00:00.0,,Fin de mandat,"En remplacement de M. Jean COLLERY, décédé"
59214D,M.,Amelin,Jean,ANCIEN,1937,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement,1992-10-01 00:00:00.0,,Ne se représente pas,
57716N,M.,Amic,Auguste,ANCIEN,1939,,1972-12-06 00:00:00.0,,Remplace,1977-10-02 00:00:00.0,,Non réélu,"En remplacement de M. Edouard Le Bellegou, décédé"
14239U,M.,Amiel,Michel,ANCIEN,14201,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-08-02 00:00:00.0,,Démissionnaire,
95005A,M.,Amoudry,Jean-Paul,ANCIEN,10,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95005A,M.,Amoudry,Jean-Paul,ANCIEN,10756,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Non réélu,
000689,M.,Andre,Louis,ANCIEN,5314,,1955-06-19 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
000689,M.,Andre,Louis,ANCIEN,5315,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1962-10-01 00:00:00.0,,Fin de mandat,
000689,M.,Andre,Louis,ANCIEN,5316,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 3,1971-10-01 00:00:00.0,,Ne se représente pas,
19930E,Mme,André,Catherine,ANCIEN,51739,,2020-06-28 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Ne se représente pas,"en remplacement de M. Jacques Genest, dont le mandat a pris fin de plein droit"
01031L,Mme,André,Michèle,ANCIEN,6437,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
01031L,Mme,André,Michèle,ANCIEN,12673,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Ne se représente pas,
98036V,M.,André,Pierre,ANCIEN,5142,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
98036V,M.,André,Pierre,ANCIEN,11487,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Ne se représente pas,
08040S,M.,Andreoni,Serge,ANCIEN,11631,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Ne se représente pas,
000376,M.,Andrieux,Antoine,ANCIEN,1945,,1974-01-01 00:00:00.0,,Remplace,1980-10-01 00:00:00.0,,Fin de mandat,En remplacement de M. Roger DELAGNES
000376,M.,Andrieux,Antoine,ANCIEN,1946,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Renouvellement,1983-05-10 00:00:00.0,,Décédé,
97009N,M.,Angels,Bernard,ANCIEN,11,,1997-07-05 00:00:00.0,,Remplace,2004-09-30 00:00:00.0,,Fin de mandat,En remplacement de M. Alain Richard nommé membre du Gouvernement
97009N,M.,Angels,Bernard,ANCIEN,10926,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Ne se représente pas,
000465,Mme,Anglade,Magdeleine,ANCIEN,1948,,1994-09-28 00:00:00.0,,Remplace,1995-09-24 00:00:00.0,,Ne se représente pas,"En remplacement de M. François COLLET, décédé"
20032T,M.,Anglars,Jean-Claude,ACTIF,51850,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
12040W,Mme,Ango Ela,Kalliopi,ANCIEN,12899,,2012-07-22 00:00:00.0,,Remplace,2014-05-02 00:00:00.0,,Reprise mandat d'ancien membre du Gvt,"en remplacement de Mme Hélène Conway-Mouret, nommée membre du Gouvernement"
11109J,M.,Antiste,Maurice,ACTIF,12664,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Fin de mandat,
11109J,M.,Antiste,Maurice,ACTIF,51366,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement,,,En Cours,
08072B,M.,Antoinette,Jean-Étienne,ANCIEN,11791,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Non réélu,
08025T,M.,Anziani,Alain,ANCIEN,11575,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
08025T,M.,Anziani,Alain,ANCIEN,14210,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2017-09-30 00:00:00.0,,Démissionnaire,
19760E,Mme,Apourceau-Poly,Cathy,ACTIF,51596,,2018-07-01 00:00:00.0,,Remplace,,,En Cours,"en remplacement de M. Dominique Watrin, démissionnaire"
11055M,Mme,Archimbaud,Aline,ANCIEN,12747,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
000037,M.,Armengaud,André,ANCIEN,1952,,1955-06-28 00:00:00.0,,Renouvellement 2,1959-05-05 00:00:00.0,,Fin de mandat,
000037,M.,Armengaud,André,ANCIEN,1953,1959-05-05 00:00:00.0,1959-05-05 00:00:00.0,,Renouvellement 3,1968-10-01 00:00:00.0,,Fin de mandat,
000037,M.,Armengaud,André,ANCIEN,1954,1968-10-02 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement,1974-03-11 00:00:00.0,,Décédé,
14189C,M.,Arnaud,Jean-Michel,ACTIF,51854,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
96008H,M.,Arnaud,Philippe,ANCIEN,12,,1996-09-29 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Fin de mandat,
96008H,M.,Arnaud,Philippe,ANCIEN,5048,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Renouvellement 1,2008-09-30 00:00:00.0,,Non réélu,
14261S,M.,Arnell,Guillaume,ANCIEN,14317,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Non réélu,
59520L,M.,Arreckx,Maurice,ANCIEN,1956,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Ne se représente pas,
19717B,M.,Artano,Stéphane,ACTIF,51364,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
83011J,M.,Arthuis,Jean,ANCIEN,13,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1986-04-19 00:00:00.0,,Membre Gouvernement,
83011J,M.,Arthuis,Jean,ANCIEN,15,1988-07-24 00:00:00.0,1988-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83011J,M.,Arthuis,Jean,ANCIEN,16,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,1995-06-17 00:00:00.0,,Membre Gouvernement,
83011J,M.,Arthuis,Jean,ANCIEN,18,,1997-09-21 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Fin de mandat,
83011J,M.,Arthuis,Jean,ANCIEN,6365,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Fin de mandat,
83011J,M.,Arthuis,Jean,ANCIEN,12633,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 2,2014-06-30 00:00:00.0,,Démission (Député européen),
19631V,Mme,Artigalas,Viviane,ACTIF,51245,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
80003V,M.,Arzel,Alphonse,ANCIEN,19,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Election,1989-10-01 00:00:00.0,,Fin de mandat,
80003V,M.,Arzel,Alphonse,ANCIEN,20,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 1,1998-09-30 00:00:00.0,,Non réélu,
04085P,Mme,Assassi,Éliane,ACTIF,10981,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04085P,Mme,Assassi,Éliane,ACTIF,12750,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Fin de mandat,
04085P,Mme,Assassi,Éliane,ACTIF,51205,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement 2,,,En Cours,
04059M,M.,Assouline,David,ACTIF,10875,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04059M,M.,Assouline,David,ACTIF,12739,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Fin de mandat,
04059M,M.,Assouline,David,ACTIF,51169,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement 2,,,En Cours,
98011L,M.,Auban,Bertrand,ANCIEN,5039,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
98011L,M.,Auban,Bertrand,ANCIEN,11580,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Ne se représente pas,
000012,M.,Auberger,Fernand,ANCIEN,1959,,1955-06-19 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
000012,M.,Auberger,Fernand,ANCIEN,1960,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1962-03-06 00:00:00.0,,Décédé,
000146,M.,Aubert,Emile,ANCIEN,1963,,1955-06-19 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
000146,M.,Aubert,Emile,ANCIEN,1964,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1962-10-01 00:00:00.0,,Fin de mandat,
000146,M.,Aubert,Emile,ANCIEN,1965,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 3,1969-08-22 00:00:00.0,,Décédé,
14137P,M.,Aubey,François,ANCIEN,14087,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2015-06-11 00:00:00.0,,Démissionné d'office par le Conseil constitutionnel,
000051,M.,Aubin,Jean,ANCIEN,1967,,1968-10-25 00:00:00.0,,Remplace,1971-10-01 00:00:00.0,,Non réélu,"En remplacement de M. Ludovic TRON, décédé"
58614M,M.,Aubry,André,ANCIEN,1969,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Election,1977-10-02 00:00:00.0,,Ne se représente pas,
000098,M.,Auburtin,Jean,ANCIEN,1971,,1972-09-15 00:00:00.0,,Remplace,1977-10-02 00:00:00.0,,Ne se représente pas,"En remplacement de M. Albert CHAVANAC, décédé"
000292,M.,Audy,Marcel,ANCIEN,1973,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-09-22 00:00:00.0,,Fin de mandat,
000292,M.,Audy,Marcel,ANCIEN,1974,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1968-01-06 00:00:00.0,1962,Décédé,
83012K,M.,Autain,François,ANCIEN,21,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83012K,M.,Autain,François,ANCIEN,22,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Fin de mandat,
83012K,M.,Autain,François,ANCIEN,6503,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 2,2011-09-30 00:00:00.0,,Ne se représente pas,
00001A,M.,Autexier,Jean-Yves,ANCIEN,5847,,2000-01-28 00:00:00.0,,Remplace,2004-09-30 00:00:00.0,,Non réélu,"En remplacement de M. Charzat, élu député"
80004W,M.,Authié,Germain,ANCIEN,23,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Election,1989-10-01 00:00:00.0,,Fin de mandat,
80004W,M.,Authié,Germain,ANCIEN,24,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 1,1998-09-30 00:00:00.0,,Ne se représente pas,
19515S,M.,Babary,Serge,ACTIF,51104,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
57741P,M.,Bac,Jean,ANCIEN,1977,,1974-06-29 00:00:00.0,,Remplace,1977-10-02 00:00:00.0,,Non réélu,"En remplacement de M. Jacques SOUFFLET, nommé membre du Gouvernement"
20112S,M.,Bacchi,Jérémy,ACTIF,51939,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
20076G,M.,Bacci,Jean,ACTIF,51895,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
95006B,M.,Badinter,Robert,ANCIEN,25,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95006B,M.,Badinter,Robert,ANCIEN,10946,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,2011,Ne se représente pas,
95007C,M.,Badré,Denis,ANCIEN,26,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95007C,M.,Badré,Denis,ANCIEN,10947,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Non réélu,
89046W,M.,Bailet,Honoré,ANCIEN,27,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Ne se représente pas,
11039M,M.,Bailly,Dominique,ANCIEN,12605,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Non réélu,
01008M,M.,Bailly,Gérard,ANCIEN,6370,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
01008M,M.,Bailly,Gérard,ANCIEN,12636,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Ne se représente pas,
000490,M.,Bailly,Jean,ANCIEN,1984,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1971-11-02 00:00:00.0,,Démissionnaire,
000339,M.,Bajeux,Octave,ANCIEN,1987,,1958-06-08 00:00:00.0,,Election,1959-04-27 00:00:00.0,,Fin de mandat,
000339,M.,Bajeux,Octave,ANCIEN,1988,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 1,1965-10-01 00:00:00.0,,Fin de mandat,
000339,M.,Bajeux,Octave,ANCIEN,1989,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 2,1974-10-01 00:00:00.0,,Fin de mandat,
000339,M.,Bajeux,Octave,ANCIEN,1990,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement 3,1983-10-02 00:00:00.0,,Ne se représente pas,
84004P,M.,Balarello,José,ANCIEN,28,,1984-12-26 00:00:00.0,,Remplace,1989-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Victor ROBINI, décédé"
84004P,M.,Balarello,José,ANCIEN,29,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 1,1998-09-30 00:00:00.0,,Fin de mandat,
84004P,M.,Balarello,José,ANCIEN,5042,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Renouvellement 2,2008-09-30 00:00:00.0,,Ne se représente pas,
000115,M.,Balestra,Clément,ANCIEN,1993,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1968-10-01 00:00:00.0,,Fin de mandat,
000115,M.,Balestra,Clément,ANCIEN,1994,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement,1977-10-02 00:00:00.0,,Ne se représente pas,
74008N,M.,Ballayer,René,ANCIEN,30,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Election,1983-10-02 00:00:00.0,,Fin de mandat,
74008N,M.,Ballayer,René,ANCIEN,31,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 1,1992-10-01 00:00:00.0,,Fin de mandat,
74008N,M.,Ballayer,René,ANCIEN,32,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 2,2001-01-26 00:00:00.0,2001,Décédé,
59564Y,M.,Bangou,Henri,ANCIEN,1997,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Non réélu,
19707Y,M.,Bansard,Jean-Pierre,ACTIF,51270,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,2018-07-27 00:00:00.0,,Annulé par CC,
19707Y,M.,Bansard,Jean-Pierre,ACTIF,52427,2021-09-26 00:00:00.0,2021-10-01 00:00:00.0,,Réélection,,,En Cours,
000733,M.,Baratgin,Paul,ANCIEN,5327,,1958-06-08 00:00:00.0,,Renouvellement 3,1959-04-27 00:00:00.0,,Fin de mandat,
000733,M.,Baratgin,Paul,ANCIEN,5328,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 4,1965-10-01 00:00:00.0,,Fin de mandat,
000733,M.,Baratgin,Paul,ANCIEN,5329,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 5,1966-12-22 00:00:00.0,,Décédé,
79005G,M.,Barbier,Bernard,ANCIEN,1999,,1979-07-06 00:00:00.0,,Remplace,1980-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. André PICARD, décédé"
79005G,M.,Barbier,Bernard,ANCIEN,2000,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Renouvellement 1,1989-10-01 00:00:00.0,,Fin de mandat,
79005G,M.,Barbier,Bernard,ANCIEN,2001,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 2,1998-02-25 00:00:00.0,,Décédé,
01046T,M.,Barbier,Gilbert,ANCIEN,6481,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
01046T,M.,Barbier,Gilbert,ANCIEN,12637,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Ne se représente pas,
000282,M.,Barbier,Pierre,ANCIEN,2003,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Election,1974-10-01 00:00:00.0,,Non réélu,
58109Y,M.,Bardol,Jean,ANCIEN,2006,,1958-06-08 00:00:00.0,,Election,1959-04-27 00:00:00.0,,Fin de mandat,
58109Y,M.,Bardol,Jean,ANCIEN,2007,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 1,1965-10-01 00:00:00.0,,Fin de mandat,
58109Y,M.,Bardol,Jean,ANCIEN,2008,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 2,1973-04-01 00:00:00.0,,Élu député,
94004U,Mme,Bardou,Janine,ANCIEN,33,,1994-09-10 00:00:00.0,,Remplace,2001-09-30 00:00:00.0,,Ne se représente pas,"En remplacement de M.Joseph CAUPERT, décédé"
19651A,M.,Bargeton,Julien,ACTIF,51174,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
58515K,M.,Barkat-Gourat,Hamadou,ANCIEN,9757,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Election,1974-10-01 00:00:00.0,,Fin de mandat,
58515K,M.,Barkat-Gourat,Hamadou,ANCIEN,9758,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement,1980-06-30 00:00:00.0,,Démissionnaire,
95008D,M.,Barnier,Michel,ANCIEN,34,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,1995-10-31 00:00:00.0,,Membre Gouvernement,
95008D,M.,Barnier,Michel,ANCIEN,36,,1997-09-21 00:00:00.0,,Election,1999-09-23 00:00:00.0,,Démissionnaire,
05004A,M.,Baroin,François,ANCIEN,14063,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2017-09-30 00:00:00.0,,Démissionnaire,
000002,M.,Barrachin,Edmond,ANCIEN,2010,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1968-10-01 00:00:00.0,,Fin de mandat,
000002,M.,Barrachin,Edmond,ANCIEN,2011,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement,1975-11-08 00:00:00.0,,Décédé,
000529,M.,Barras,Jean,ANCIEN,2013,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1990-04-11 00:00:00.0,,Décédé,
89018S,M.,Barraux,Bernard,ANCIEN,37,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Fin de mandat,
